color,cylinder,finn_code,first_reg,fuel_type,gear,km,model,model_year,power,price,trans
Svart,"1,6 l",138149485,,Diesel,Automat,116 000 km,Volvo V60,2013,114 Hk,"179 800,-",Forhjulsdrift
"Osmium grey metallic, 714","2,4 l",138149681,30.09.2016,Diesel,Automat,51 152 km,Volvo XC 60,2017,163 Hk,"499 800,-",Firehjulsdrift
"Onyx black metallic, 717",2 l,138149690,30.09.2016,Diesel,Manuell,54 560 km,Volvo V40 Cross Country,2017,120 Hk,"269 800,-",Forhjulsdrift
"Osmium grey mettalic, 714",2 l,138149671,18.10.2016,Diesel,Manuell,49 656 km,Volvo V40,2017,120 Hk,"249 800,-",Forhjulsdrift
Krystal hvit,"2,4 l",138149695,12.12.2016,Diesel,Automat,55 362 km,Volvo XC 60,2017,163 Hk,"509 000,-",Firehjulsdrift
Imperial blue,,138146141,16.12.2010,Diesel,Automat,140 500 km,BMW 7-serie,2011,306 Hk,"349 000,-",Firehjulsdrift
Phantom Black metallic,2 l,138148391,26/3-2013,Diesel,Manuell,49 000 km,Hyundai ix35,2013,136 Hk,"239 000,-",Antispinn/skrens
Krystal hvit,"2,4 l",138149695,12.12.2016,Diesel,Automat,55 362 km,Volvo XC 60,2017,163 Hk,"509 000,-",Firehjulsdrift
Imperial blue,,138146141,16.12.2010,Diesel,Automat,140 500 km,BMW 7-serie,2011,306 Hk,"349 000,-",Firehjulsdrift
Phantom Black metallic,2 l,138148391,26/3-2013,Diesel,Manuell,49 000 km,Hyundai ix35,2013,136 Hk,"239 000,-",Antispinn/skrens
"Onyx black metallic, 717","2,4 l",138149628,30.09.2016,Diesel,Automat,52 175 km,Volvo XC 60,2017,163 Hk,"499 800,-",Firehjulsdrift
MOON WHITE MET,"1,2 l",138149656,22.12.2015,Bensin,Automat,23 000 km,Skoda Rapid Spaceback,2016,90 Hk,"189 900,-",Forhjulsdrift
Ruby Red,2 l,138149657,12.09.2016,Elektrisitet+bensin,Automat,26 890 km,Ford Mondeo,2016,187 Hk,"269 900,-",Forhjulsdrift
Rød,"2,4 l",128524995,10.07.1996,Bensin,Manuell,254 000 km,Volvo 850,1997,144 Hk,"24 594,-",Forhjulsdrift
"Savile grey metallic, 492","2,4 l",138149478,30.09.2016,Diesel,Automat,55 545 km,Volvo XC 60,2017,163 Hk,"499 800,-",Firehjulsdrift
696 Nattsvart,"1,6 l",138149502,29.09.2016,Bensin,Automat,20 500 km,Mercedes-Benz CLA,2017,122 Hk,"319 900,-",Forhjulsdrift
Electric silver Met. 477,2 l,138149534,25.04.2016,Diesel,Automat,62 120 km,Volvo V70,2016,120 Hk,"299 800,-",Forhjulsdrift
"Onyx black metallic, 717","2,4 l",138149531,30.09.2016,Diesel,Automat,63 401 km,Volvo XC 60,2017,163 Hk,"499 800,-",Firehjulsdrift
"Mussel blue metallic, 721",2 l,138149556,18.10.2016,Diesel,Manuell,37 801 km,Volvo V40,2017,120 Hk,"249 800,-",Forhjulsdrift
Svart,3 l,138149538,28.12.2017,Bensin,Automat,20 000 km,Mercedes-Benz C-Klasse,2018,367 Hk,"799 000,-",Firehjulsdrift
Onyx black,"2,4 l",138149483,24.05.2017,Diesel,Automat,35 130 km,Volvo XC 60,2017,190 Hk,"529 000,-",Firehjulsdrift
Grå,"2,1 l",138149549,11.09.2013,Diesel,Automat,32 000 km,Mercedes-Benz Vito,2013,136 Hk,"165 719,-",Bakhjulsdrift
Magic blue metallic,"2,4 l",138149452,13.01.2016,Diesel,Automat,54 700 km,Volvo XC 60,2016,163 Hk,"479 000,-",Firehjulsdrift
ISBREHVIT,1 l,138149471,23.06.2017,Bensin,Manuell,22 000 km,Audi A1,2017,95 Hk,"199 800,-",Forhjulsdrift
"Osmium grey metallic, 714","2,4 l",138149464,28.09.2016,Diesel,Automat,53 047 km,Volvo XC 60,2017,163 Hk,"499 800,-",Firehjulsdrift
"Onyx Black metallic, 717",2 l,138149436,30.09.2016,Diesel,Manuell,47 575 km,Volvo V40 Cross Country,2017,120 Hk,"269 800,-",Forhjulsdrift
Basalt Black Metallic,"3,8 l",138149461,08.11.2013,Bensin,Automat,56 000 km,Porsche 911,2014,560 Hk,"1 678 000,-",Firehjulsdrift
"Osmium grey metallic, 714",2 l,138149447,30.09.2016,Diesel,Manuell,51 826 km,Volvo V40 Cross Country,2017,120 Hk,"269 800,-",Forhjulsdrift
Metallic,2 l,138149387,28.02.2006,Diesel,Manuell,88 500 km,BMW 1-serie,2006,122 Hk,"64 000,-",Bakhjulsdrift
Rød Azuki,,138149384,13.06.2018,Elektrisitet,Automat,1 700 km,Peugeot iOn,2018,67 Hk,"145 000,-",Bakhjulsdrift
Svart,2 l,138146489,18.09.2013,Diesel,Manuell,101 650 km,Skoda Octavia,2014,150 Hk,"189 900,-",4x4
DEEP BLACK PERLMET.,"1,4 l",138149450,02.05.2017,Bensin,Automat,44 043 km,Volkswagen Passat,2017,125 Hk,"314 000,-",Forhjulsdrift
Sort metallic,1 598 l,132896722,17.03.2011,Diesel,Automat,136 000 km,Volkswagen Golf,2011,105 Hk,"84 999,-",Forhjulsdrift
Osmium Grey Metallic 714,2 l,138149339,01.02.2017,Diesel,Automat,59 941 km,Volvo V90,2017,190 Hk,"519 800,-",Forhjulsdrift
BUSINESS GREY MET,2 l,138149327,28.12.2018,Diesel,Automat,1 500 km,Skoda Kodiaq,2019,150 Hk,"549 900,-",Firehjulsdrift
svart metallic,2 l,133006581,28.07.2009,Bensin,Automat,96 700 km,BMW 3-serie,2009,170 Hk,"195 719,-",Bakhjulsdrift
Hvit,1 l,138149334,,Bensin,Manuell,3 500 km,Kia Rio,2018,100 Hk,"198 000,-",Forhjulsdrift
Ice silver,"1,6 l",107733041,27.09.2016,Bensin,Automat,33 500 km,Subaru Levorg,2016,170 Hk,"4 507,-",Firehjulsdrift
Mussel Blue met 721,2 l,138149238,02.08.2016,Diesel,Automat,65 679 km,Volvo S90,2017,190 Hk,"509 900,-",Forhjulsdrift
Bright silver metallic. 711,2 l,138149230,21.09.2016,Diesel,Manuell,45 835 km,Volvo V40 Cross Country,2017,120 Hk,"269 800,-",Forhjulsdrift
Kristal hvit Metallic 707,2 l,138149288,31.08.2018,Elektrisitet+bensin,Automat,6 569 km,Volvo XC 60,2019,303 Hk,"7 163,-",Firehjulsdrift
Grå,,138127641,30.06.2015,Elektrisitet,Automat,18 700 km,BMW i3,2015,170 Hk,"199 000,-",Bakhjulsdrift
Mørk grå metallic,2 l,138145131,18.08.2014,Diesel,Automat,50 000 km,BMW 5-serie,2014,163 Hk,"342 775,-",xDrive
"Savile Grey metallic, 492",2 l,138149274,25.04.2016,Diesel,Automat,62 845 km,Volvo V70,2016,120 Hk,"299 800,-",Forhjulsdrift
"Electric silver, 477","2,4 l",138149281,28.09.2016,Diesel,Automat,51 742 km,Volvo XC 60,2017,163 Hk,"499 800,-",Firehjulsdrift
"Seashell metallic, 484",2 l,138149267,25.04.2016,Diesel,Automat,64 747 km,Volvo V70,2016,120 Hk,"299 800,-",Forhjulsdrift
Twilight Bronze Met 700,"2,4 l",138149246,27.03.2017,Diesel,Automat,45 286 km,Volvo XC 60,2017,190 Hk,"519 000,-",Firehjulsdrift
Svart,"4,9 l",138149292,29.03.2004,Diesel,Automat,229 000 km,Volkswagen Touareg,2004,313 Hk,"149 000,-",Firehjulsdrift
"Savile Gray, 492","2,4 l",138149199,17.08.2016,Diesel,Automat,50 785 km,Volvo XC 60,2017,163 Hk,"499 800,-",Firehjulsdrift
Mussel blue,2 l,138149153,15.07.2016,Diesel,Automat,30 000 km,Volvo S90,2017,190 Hk,"489 000,-",Forhjulsdrift
"Bright silver Met, 711","2,4 l",138149149,17.08.2016,Diesel,Automat,59 753 km,Volvo XC 60,2017,163 Hk,"499 800,-",Firehjulsdrift
Svart,"1,6 l",138149148,11.05.2012,Bensin,Manuell,162 000 km,Ford Focus,2012,150 Hk,"79 999,-",Forhjulsdrift
Rød,"1,5 l",138149092,27.11.2015,Diesel,Automat,35 000 km,Ford Transit Connect,2015,120 Hk,"210 000,-",Forhjulsdrift
Sort metallic,2 l,138149087,31.03.2017,Diesel,Manuell,32 841 km,Volvo V40 Cross Country,2017,120 Hk,"279 800,-",Forhjulsdrift
Sølv metallic,2 l,138149117,31.03.2017,Diesel,Manuell,30 766 km,Volvo V40 Cross Country,2017,120 Hk,"279 800,-",Forhjulsdrift
Sølv metallic,2 l,138149105,29.10.2015,Diesel,Manuell,20 076 km,Volvo V40,2016,120 Hk,"219 800,-",Forhjulsdrift
Grå,"1,6 l",138149143,07.03.2018,Diesel,Automat,25 181 km,Opel Grandland X,2018,120 Hk,"379 000,-",Forhjulsdrift
Sølv metallic,2 l,138149117,31.03.2017,Diesel,Manuell,30 766 km,Volvo V40 Cross Country,2017,120 Hk,"279 800,-",Forhjulsdrift
Sølv metallic,2 l,138149105,29.10.2015,Diesel,Manuell,20 076 km,Volvo V40,2016,120 Hk,"219 800,-",Forhjulsdrift
Grå,"1,6 l",138149143,07.03.2018,Diesel,Automat,25 181 km,Opel Grandland X,2018,120 Hk,"379 000,-",Forhjulsdrift
Sølv,3 l,138149138,30.01.2013,Diesel,Manuell,89 500 km,Peugeot Boxer,2013,156 Hk,"169 000,-",Forhjulsdrift
Bright silver,2 l,138149093,01.06.2018,Elektrisitet+bensin,Automat,19 000 km,Volvo XC 60,2018,407 Hk,"769 000,-",Firehjulsdrift
Liminous sand met. 719,2 l,138149040,29.12.2016,Diesel,Automat,44 823 km,Volvo V60 Cross Country,2017,150 Hk,"329 800,-",Forhjulsdrift
Svart,2 l,138148971,12.08.2009,Diesel,Automat,102 000 km,Audi Q5,2010,170 Hk,"244 000,-",Firehjulsdrift
BLÅ MET,"2,5 l",138149030,08.07.2008,Diesel,Manuell,174 777 km,Volkswagen Caravelle,2009,174 Hk,"259 000,-",Firehjulsdrift
Svart,3 l,138084852,,Diesel,Automat,218 523 km,Mercedes-Benz E-Klasse,2009,231 Hk,"289 000,-",Firehjulsdrift
Svart,,108956423,,Bensin,Manuell,135 000 km,Nissan 200 SX,1996,,"20 000,-",Bakhjulsdrift
Beige,"1,6 l",138148814,20.12.2006,Diesel,Manuell,85 500 km,Citroen Berlingo,2006,75 Hk,"26 900,-",Forhjulsdrift
Svart,"2,4 l",138145312,21.08.2002,Bensin,Manuell,250 000 km,Volvo V70,1998,193 Hk,"13 618,-",Firehjulsdrift
lys grønn,"3,2 l",51561230,,Bensin,Automat,78 250 km,Buick Century,1978,0 Hk,"19 000,-",Bakhjulsdrift
Spacegrey metallic,"1,8 l",138142364,08.04.2010,Diesel,Automat,171 500 km,BMW X1,2010,136 Hk,"139 000,-",Firehjulsdrift
Onyx black Metallic 717,2 l,138148873,30.12.2015,Diesel,Automat,65 001 km,Volvo V70,2016,120 Hk,"314 000,-",Forhjulsdrift
Svart,,138148885,11.04.2018,Elektrisitet,Automat,6 800 km,Nissan Leaf,2018,150 Hk,"299 000,-",Forhjulsdrift
REFLEXSØLV MET.,2 l,138148887,18.12.2015,Diesel,Automat,37 900 km,Volkswagen Caddy,2016,150 Hk,"265 000,-",Firehjulsdrift
Svart,2 l,138143588,12.04.2011,Diesel,Automat,142 000 km,Skoda Octavia,2011,140 Hk,"123 775,-",Forhjulsdrift
Candy hvit,2 l,138148797,02.01.2018,Diesel,Automat,6 200 km,Skoda Karoq,2018,150 Hk,"479 000,-",Firehjulsdrift
Metallic,,138148769,26.08.2014,Bensin,Manuell,38 132 km,Nissan Qashqai,2014,116 Hk,"199 000,-",Forhjulsdrift
Perlemor,"2,2 l",100606414,07.11.2011,Diesel,Manuell,98 000 km,Opel Antara,2012,163 Hk,"188 660,-",Firehjulsdrift
Black,2 l,138148714,,Bensin,Manuell,1 200 km,Mazda MX-5,2018,160 Hk,"364 000,-",Bakhjulsdrift
Onyx black Metallic 717,2 l,138148702,27.11.2015,Diesel,Automat,59 122 km,Volvo V70,2016,120 Hk,"319 000,-",Forhjulsdrift
Metallic,,138148756,26.02.2016,Elektrisitet,Automat,51 736 km,Nissan Leaf,2016,109 Hk,"209 000,-",Forhjulsdrift
DARK GREY METALLIC,2 l,138148718,07.10.2011,Diesel,Manuell,55 672 km,Subaru Forester,2011,147 Hk,"179 000,-",Firehjulsdrift
Svart,2 l,138148611,,Diesel,Automat,123 000 km,Skoda Superb,2013,140 Hk,"219 000,-",Firehjulsdrift
475 Safirsort metallic,"1,5 l",138148639,20.09.2018,Elektrisitet+bensin,Automat,1 500 km,BMW 2-serie,2019,136 Hk,"479 000,-",Firehjulsdrift
Grå,1 560 l,138144016,27.05.2008,Diesel,Manuell,110 707 km,Ford Focus,2008,109 Hk,"45 000,-",Forhjulsdrift
Grabber Orange,"4,6 l",138121511,,Bensin,Manuell,94 723 km,Ford Mustang,2008,303 Hk,"359 000,-",Bakhjulsdrift
Onyx black metallic 717,2 l,138148608,30.12.2016,Diesel,Automat,48 500 km,Volvo V60 Cross Country,2017,150 Hk,"359 900,-",Forhjulsdrift
Krystal hvit Metallic 707,"2,4 l",138148599,16.07.2015,Elektrisitet+diesel,Automat,46 431 km,Volvo V60,2015,231 Hk,"339 000,-",Firehjulsdrift
Onyx svart,2 l,138148595,11.05.2018,Elektrisitet+bensin,Automat,19 600 km,Volvo XC 60,2018,320 Hk,"789 000,-",Firehjulsdrift
Hvit,2 l,138148548,31.10.2013,Diesel,Manuell,95 000 km,Volkswagen Caddy Maxi,2014,110 Hk,"149 000,-",Firehjulsdrift
Grå,,138148540,25.01.2017,Elektrisitet,Automat,17 400 km,BMW i3,2017,170 Hk,"299 000,-",Bakhjulsdrift
Brun,"1,6 l",138148514,12.03.2015,Diesel,Manuell,95 500 km,Ford Focus,2015,95 Hk,"149 000,-",Forhjulsdrift
Grå,"1,9 l",138104533,11.01.2007,Diesel,Manuell,237 000 km,Saab 9-3,2007,120 Hk,"39 000,-",Forhjulsdrift
Grå,"1,6 l",138148482,30.06.2011,Diesel,Manuell,113 400 km,Ford S-MAX,2011,116 Hk,"169 000,-",Forhjulsdrift
Svart,2 l,138146811,,Diesel,Manuell,159 000 km,Audi A4,2008,140 Hk,"105 618,-",Firehjulsdrift
Saville Grå Met,"1,6 l",138148358,25.06.2014,Diesel,Manuell,60 800 km,Volvo V60,2014,114 Hk,"194 900,-",Forhjulsdrift
Svart,1 598 l,138114638,24.07.2011,Diesel,Manuell,82 000 km,Volkswagen Golf,2012,105 Hk,"78 775,-",Forhjulsdrift
Blå,"1,6 l",138148380,09.05.2007,Diesel,Manuell,136 000 km,Volvo C30,2007,109 Hk,"49 990,-",Forhjulsdrift
Krystal hvit,"1,6 l",138148371,30.10.2014,Diesel,Automat,58 930 km,Volvo V60,2015,114 Hk,"239 000,-",Forhjulsdrift
Grå,2 l,138148319,27.04.2012,Diesel,Manuell,137 000 km,Volkswagen Tiguan,2012,110 Hk,"129 000,-",Forhjulsdrift
Bronse,"1,8 l",138148290,17.02.2014,Elektrisitet+bensin,Automat,102 000 km,Toyota Auris,2014,99 Hk,"169 000,-",Forhjulsdrift
CANDY WHITE,1 l,138148271,16.11.2016,Bensin,Manuell,26 500 km,Skoda Fabia,2017,60 Hk,"147 800,-",Forhjulsdrift
Svart,2 316 l,138143449,02.04.1996,Bensin,Manuell,194 504 km,Volvo 940,1996,99 Hk,"21 618,-",Bakhjulsdrift
Grå,"1,9 l",138142614,30.11.2004,Diesel,Manuell,299 940 km,Audi A4,2002,131 Hk,"26 618,-",Forhjulsdrift
Svart,"1,8 l",138148275,10.11.2015,Elektrisitet+bensin,Automat,121 130 km,Toyota Prius,2015,99 Hk,"119 900,-",Forhjulsdrift
CANDYHVIT/SORT,2 l,138148139,23.10.2014,Diesel,Manuell,60 000 km,Volkswagen Caddy,2015,110 Hk,"179 000,-",Firehjulsdrift
Grå,,138073227,11.06.2015,Elektrisitet+bensin,Automat,39 484 km,Toyota Auris,2015,,"189 000,-",Forhjulsdrift
Grå,2 l,138148319,27.04.2012,Diesel,Manuell,137 000 km,Volkswagen Tiguan,2012,110 Hk,"129 000,-",Forhjulsdrift
Bronse,"1,8 l",138148290,17.02.2014,Elektrisitet+bensin,Automat,102 000 km,Toyota Auris,2014,99 Hk,"169 000,-",Forhjulsdrift
CANDY WHITE,1 l,138148271,16.11.2016,Bensin,Manuell,26 500 km,Skoda Fabia,2017,60 Hk,"147 800,-",Forhjulsdrift
Svart,2 316 l,138143449,02.04.1996,Bensin,Manuell,194 504 km,Volvo 940,1996,99 Hk,"21 618,-",Bakhjulsdrift
Grå,"1,9 l",138142614,30.11.2004,Diesel,Manuell,299 940 km,Audi A4,2002,131 Hk,"26 618,-",Forhjulsdrift
Svart,"1,8 l",138148275,10.11.2015,Elektrisitet+bensin,Automat,121 130 km,Toyota Prius,2015,99 Hk,"119 900,-",Forhjulsdrift
CANDYHVIT/SORT,2 l,138148139,23.10.2014,Diesel,Manuell,60 000 km,Volkswagen Caddy,2015,110 Hk,"179 000,-",Firehjulsdrift
Grå,,138073227,11.06.2015,Elektrisitet+bensin,Automat,39 484 km,Toyota Auris,2015,,"189 000,-",Forhjulsdrift
Sort Safir Metallic,2 l,138148195,24.03.2015,Diesel,Automat,86 979 km,Volvo V70,2015,181 Hk,"345 000,-",Forhjulsdrift
HVIT,0 l,138148201,,Elektrisitet,Automat,28 000 km,Nissan Leaf,2017,109 Hk,"219 000,-",Forhjulsdrift
Svart metallic,"2,4 l",138148082,01.12.2016,Diesel,Manuell,3 800 km,Toyota HiLux,2016,150 Hk,"469 000,-",Firehjulsdrift
Mineralgrå metallic,"1,5 l",138148078,31.07.2018,Elektrisitet+bensin,Automat,1 000 km,BMW 2-serie,2019,136 Hk,"379 000,-",Firehjulsdrift
British Racing Green Metallic,"1,5 l",138148108,14.09.2018,Elektrisitet+bensin,Automat,2 000 km,MINI Countryman,2019,224 Hk,"385 000,-",Firehjulsdrift
Is Hvit,2 l,138148111,18.11.2015,Diesel,Automat,61 330 km,Volvo V60,2016,120 Hk,"279 000,-",Forhjulsdrift
Grå,1 896 l,138144391,11.01.2007,Diesel,Manuell,149 999 km,Skoda Roomster,2007,105 Hk,"23 500,-",Forhjulsdrift
Grønn,"2,5 l",138142873,14.05.1998,Bensin,Automat,251 000 km,Volvo V70,1998,193 Hk,"29 618,-",Forhjulsdrift
DARK GREY,0 l,138148011,,Elektrisitet,Automat,2 000 km,Nissan Leaf,2017,109 Hk,"228 000,-",Forhjulsdrift
Blå,2 435 l,138143595,12.10.1995,Bensin,Manuell,220 000 km,Volvo 850,1996,144 Hk,"19 618,-",Forhjulsdrift
Svart,"1,6 l",138144110,17.04.2005,Bensin,Manuell,198 000 km,Renault Laguna,2005,107 Hk,"10 718,-",Forhjulsdrift
Bursting Blue Met 720,"1,5 l",138147866,29.12.2016,Bensin,Automat,30 000 km,Volvo V60,2017,122 Hk,"315 900,-",Forhjulsdrift
Krystal Hvit,"2,4 l",138147945,25.05.2016,Elektrisitet+diesel,Automat,68 005 km,Volvo V60,2016,231 Hk,"369 000,-",Firehjulsdrift
Sølv metallic,,138144636,,Diesel,Manuell,10 km,Fiat Doblo,2019,105 Hk,"3 103,-",Forhjulsdrift
Rød,"2,6 l",138138799,28.01.1998,Bensin,Automat,317 038 km,Mercedes-Benz E-Klasse,1989,160 Hk,"39 000,-",Bakhjulsdrift
Safirsort met,2 l,138147796,31.01.2012,Diesel,Automat,104 100 km,BMW 1-serie,2012,143 Hk,"149 000,-",Bakhjulsdrift
Caspian blå Metallic 498,"1,6 l",138147784,03.12.2014,Diesel,Automat,45 162 km,Volvo V40 Cross Country,2015,114 Hk,"219 000,-",Forhjulsdrift
Hvit,"1,6 l",138147762,27.03.2015,Diesel,Automat,112 000 km,Volkswagen Touran,2015,105 Hk,"149 000,-",Forhjulsdrift
Rød,2 l,138147698,04.01.2016,Diesel,Automat,27 634 km,Volvo V60,2016,120 Hk,"339 000,-",Forhjulsdrift
Ghost White Pearl Metallic,4 l,138147765,06.05.2016,Bensin,Automat,28 900 km,Bentley Continental,2016,528 Hk,"2 195 000,-",Firehjulsdrift
Sort,2 l,138147761,28.02.2018,Bensin,Manuell,12 000 km,Hyundai i30,2018,275 Hk,"499 000,-",Forhjulsdrift
Obsidian Black Metallic,,138147750,06.04.2017,Elektrisitet,Automat,29 800 km,Tesla Model S,2017,107 Hk,"969 000,-",Firehjulsdrift
Grå,"2,2 l",138141022,,Diesel,Automat,104 000 km,Land Rover Range Rover Evoque,2012,150 Hk,"299 000,-",Firehjulsdrift
Brisbane Brown,2 l,138147676,26.05.2014,Diesel,Automat,68 000 km,Ford Mondeo,2014,140 Hk,"219 900,-",Forhjulsdrift
Sølv,"1,6 l",138147691,30.11.2016,Elektrisitet+bensin,Automat,31 606 km,Hyundai Ioniq,2017,105 Hk,"239 000,-",Forhjulsdrift
Obsidian svart metallic,3 l,138147680,16.09.2016,Elektrisitet+bensin,Automat,35 000 km,Mercedes-Benz GLE,2017,333 Hk,"779 000,-",Firehjulsdrift
Svart,"2,2 l",138145217,,Diesel,Manuell,181 100 km,Honda CR-V,2008,140 Hk,"85 000,-",Firehjulsdrift
Solarorange metallic,,138147671,13.11.2015,Elektrisitet,Automat,62 857 km,BMW i3,2015,170 Hk,"179 900,-",Forhjulsdrift
Fluid black/accent BMW i blue,,138147686,21.06.2017,Elektrisitet,Automat,13 000 km,BMW i3,2017,170 Hk,"329 000,-",Bakhjulsdrift
Indiumgrå,"1,4 l",138147660,30.08.2018,Elektrisitet+bensin,Automat,7 100 km,Volkswagen Golf,2018,150 Hk,"450 000,-",Forhjulsdrift
Krystal hvit,"2,4 l",138147613,20.10.2015,Elektrisitet+diesel,Automat,59 908 km,Volvo V60,2016,231 Hk,"369 000,-",Firehjulsdrift
Sort,2 l,138147565,07.07.2016,Diesel,Automat,94 311 km,Audi Q5,2017,163 Hk,"379 999,-",Firehjulsdrift
Svart,3 993 l,129377171,02.05.2013,Bensin,Automat,88 751 km,Audi S6,2013,420 Hk,"658 719,-",Quattro
Grå,"1,6 l",138147571,15.08.2013,Diesel,Automat,72 200 km,Citroen Berlingo,2013,92 Hk,"149 900,-",Forhjulsdrift
Svart,"1,2 l",138144242,,Bensin,Manuell,167 000 km,Volkswagen Polo,2006,64 Hk,"24 918,-",Forhjulsdrift
Grå,2 l,138146189,,Bensin,Automat,175 000 km,Peugeot 307,2003,136 Hk,"29 618,-",Forhjulsdrift
Hvit,"1,6 l",138147552,30.12.2015,Diesel,Manuell,98 474 km,Opel Vivaro,2016,125 Hk,"369 000,-",Forhjulsdrift
Sølv,,138147372,Okt. 2013,Bensin,Manuell,54 700 km,Volkswagen Golf Plus,2014,86 Hk,"129 000,-",Forhjulsdrift
Sølv,"1,9 l",132422224,09.10.2005,Diesel,Manuell,166 000 km,Volkswagen Touran,2006,105 Hk,"39 963,-",Forhjulsdrift
Hvit,4 l,138146732,,Bensin,Automat,13 000 km,Porsche 911,2016,500 Hk,"2 149 000,-",Bakhjulsdrift
Osmium Grey,"2,4 l",138147385,05.08.2015,Elektrisitet+diesel,Automat,60 001 km,Volvo V60,2016,233 Hk,"369 000,-",Firehjulsdrift
Blå,1 l,138147353,01.01.2014,Bensin,Manuell,84 000 km,Ford Fiesta,2014,101 Hk,"89 900,-",Forhjulsdrift
Sølv,,138147372,Okt. 2013,Bensin,Manuell,54 700 km,Volkswagen Golf Plus,2014,86 Hk,"129 000,-",Forhjulsdrift
Sølv,"1,9 l",132422224,09.10.2005,Diesel,Manuell,166 000 km,Volkswagen Touran,2006,105 Hk,"39 963,-",Forhjulsdrift
Hvit,4 l,138146732,,Bensin,Automat,13 000 km,Porsche 911,2016,500 Hk,"2 149 000,-",Bakhjulsdrift
Osmium Grey,"2,4 l",138147385,05.08.2015,Elektrisitet+diesel,Automat,60 001 km,Volvo V60,2016,233 Hk,"369 000,-",Firehjulsdrift
Blå,1 l,138147353,01.01.2014,Bensin,Manuell,84 000 km,Ford Fiesta,2014,101 Hk,"89 900,-",Forhjulsdrift
Onyx svart,"2,4 l",138147358,28.12.2017,Elektrisitet+diesel,Automat,27 300 km,Volvo V60,2017,220 Hk,"489 000,-",Firehjulsdrift
Hvit,"1,6 l",135138376,14.07.2013,Diesel,Manuell,101 983 km,Volkswagen Caddy,2011,75 Hk,"61 275,-",Forhjulsdrift
Blå,"1,6 l",137764397,15.04.2004,Bensin,Manuell,200 000 km,Audi A3,2001,102 Hk,"16 618,-",Forhjulsdrift
Sølv,,138147238,17.11.2005,Bensin,Automat,28 841 km,Mercedes-Benz Geländewagen,2006,476 Hk,"927 350,-",Firehjulsdrift
Indium Grey metalic,,138147222,15.11.2018,Elektrisitet,Automat,18 km,Volkswagen Golf,2019,136 Hk,"335 000,-",Forhjulsdrift
Met,"2,2 l",138147158,26.02.2014,Diesel,Automat,110 000 km,Mazda CX-5,2014,150 Hk,"239 900,-",Firehjulsdrift
Gråmetallic,"1,6 l",138146129,10.07.2007,Diesel,Manuell,187 500 km,Ford Focus,2007,90 Hk,"14 618,-",Forhjulsdrift
Sølv,"1,4 l",138145432,01.06.2004,Bensin,Manuell,228 000 km,Toyota Corolla,2004,97 Hk,"28 999,-",Forhjulsdrift
Onyx black Metallic 717,"2,4 l",138147149,31.10.2016,Elektrisitet+diesel,Automat,37 527 km,Volvo V60,2017,288 Hk,"399 000,-",Firehjulsdrift
Sølv,,134568945,01.10.2017,Elektrisitet,Automat,55 000 km,Nissan Leaf,2015,109 Hk,"150 000,-",Forhjulsdrift
Savilegrå metallic,"2,4 l",138147102,17.11.2015,Diesel,Automat,53 200 km,Volvo XC 60,2016,163 Hk,"469 000,-",Firehjulsdrift
Tornadorød,2 l,138147065,31.08.2016,Diesel,Manuell,62 500 km,Volkswagen Golf,2017,150 Hk,"249 900,-",Forhjulsdrift
Brun,2 l,138147103,07.04.2015,Diesel,Manuell,28 250 km,Toyota RAV4,2015,124 Hk,"319 000,-",Firehjulsdrift
Magic blue Perl-/Met 467,2 l,138147133,07.09.2017,Diesel,Automat,32 182 km,Volvo V60,2018,120 Hk,"379 000,-",Forhjulsdrift
Deep Black Perle,0 l,138147104,17.07.2015,Elektrisitet,Automat,18 000 km,Volkswagen Golf,2015,116 Hk,"198 000,-",Forhjulsdrift
Hvit,"1,6 l",138126838,06.02.2012,Diesel,Manuell,140 000 km,Nissan Qashqai +2,2012,131 Hk,"165 000,-",Valgfri 2wd/Auto/ Lock 4WD
"Fargen heter grå, men framstår som blågrå","1,2 l",138141847,18.02.2008,Bensin,Manuell,101 228 km,Skoda Fabia,2008,69 Hk,"48 000,-",Forhjulsdrift
Met,"2,2 l",138147039,13.03.2014,Diesel,Automat,27 000 km,Mazda CX-5,2014,150 Hk,"299 900,-",Firehjulsdrift
Hvit perlemor,"1,4 l",138146972,02.10.2015,Bensin,Automat,28 100 km,Audi A3,2015,150 Hk,"248 900,-",Forhjulsdrift
Svart metallic,,138146869,23.12.2013,Diesel,Automat,118 000 km,Skoda Octavia,2014,150 Hk,"178 775,-",Forhjulsdrift
Rød,"1,4 l",138142196,19.08.1998,Bensin,Manuell,212 000 km,Honda Civic,1998,90 Hk,"8 500,-",Forhjulsdrift
Indium Grey metalic,,138146878,01.11.2018,Elektrisitet,Automat,14 km,Volkswagen Golf,2019,136 Hk,"335 000,-",Forhjulsdrift
Pure White,,138146937,01.03.2018,Elektrisitet,Automat,11 800 km,Volkswagen Golf,2018,136 Hk,"319 000,-",Forhjulsdrift
Grå,"1,8 l",138146926,18.05.2017,Elektrisitet+bensin,Automat,35 835 km,Toyota Auris,2017,136 Hk,"247 000,-",Forhjulsdrift
Onyx Black metallic,2 l,138146833,02.05.2018,Elektrisitet+bensin,Automat,11 200 km,Volvo XC 60,2018,407 Hk,"779 000,-",Firehjulsdrift
